PLC-Gesamt,RL100-Code,RL100-Langname,RL100-Kurzname,Typ-Kurz,Betriebszustand,Datum-Ab
DE14625,EHAT,Hattingen (Ruhr),Hattingen (Ruhr),Bf,Betrieb,20201001
,EHATE,Hattingen (Ruhr) EBD,Hattingen(R) EBD,Museum,Betrieb,19990101
DE14779,EHBD,Herbede,Herbede,NE-Bf,Betrieb,20170401
DE14649,EHBK,Havixbeck,Havixbeck,Bf,Betrieb,20081214
DE15101,EHBM,Horn-Bad Meinberg,Horn-Bad Meinbg,Bf,Betrieb,20081214
DE14820,EHBO,Herne-Börnig,Herne-Börnig,Hp,Betrieb,20201001
DE60672,EHCH,Hachen,Hachen,NE-Bf,Betrieb,20090401
DE14793,EHCK,Herdecke,Herdecke,Bf,Betrieb,20081214
DE19707,EHDB,Sennestadt-Heideblümchen,Heideblümchen,Hp,Planung,20030101
DE60706,EHDF,Helgersdorf,Helgersdorf,NE-Bf,ehemals,20250501
DE14846,EHDT,Hervest-Dorsten,Hervest-Dorsten,Hp,Betrieb,20081214
DE14665,EHE,Hamm-Heessen,Heessen,Bf,Betrieb,20200401
DE14666,EHE A,Heessen Abzw,Heessen Abzw,Bft,Betrieb,20030101
DE14667,EHE P,Heessen Hp,Heessen Hp,Hp,Betrieb,20091213
DE61979,EHE X,Heessen Werkstatt Keolis,Heessen Werk Keo,NE-Werk,Betrieb,20141101
DE14668,EHEG,Heggen,Heggen,Hp,Betrieb,20081214
DE14821,EHEO,Herne-Rottbruch,Herne-Rottbruch,Bf,Betrieb,20201001
DE14823,EHEOV,Herne-Rottbruch Vockenhof,Her-Rottbr Vockh,Awanst,Betrieb,20201001
DE14749,EHEP,Helpup,Helpup,Hp,Betrieb,20081214
DE14816,EHER,Herne,Herne,Bf,Betrieb,20201001
DE14819,EHERM,Herne Mt,Herne Mt,Bft,a.B.,20201001
DE14818,EHERT,Herne Hot,Herne Hot,Bft,Betrieb,20201001
DE14856,EHEZ,Herzebrock,Herzebrock,Hp,Betrieb,20090118
DE14794,EHF,Herdorf,Herdorf,Bf,Betrieb,20091201
,EHF R,Herdorf Rathaus,Herdorf Rathaus,Bush,,20200718
DE14797,EHFD,Herford,Herford,Bf,Betrieb,20200401
,EHFDE,Herford Engl Bushst,Herford Engl Bus,Bush,Betrieb,19990101
DE61315,EHFF,Herdorf Freien Gr E,Herdorf Freien,NE-Bf,Betrieb,20090401
DE60673,EHFS,Ibbenbüren Hafen Saerbeck,Hafen Saerbeck,NE-Bf,Betrieb,20081214
DE14243,EHG,Hagen Hbf,Hagen Hbf,Bf,Betrieb,20200401
,EHG B,Hagen Hbf BFS,Hagen Hbf BFS,Museum,Betrieb,20000415
,EHG U,Hagen Hbf Bussteig,Hagen Hbf Busst,Bush,Betrieb,19990101
DE14253,EHGD,Hagen-Delstern,Hagen-Delstern,Üst,Betrieb,20130101
DE14254,EHGE,Hagen-Eckesey,Hagen-Eckesey,Bf,Betrieb,20200401
DE14255,EHGEN,Hagen-Eckesey - Stw-Bez Hn,Ha-Eckesey - Hn,Bft,ehemals,20251001
DE14256,EHGER,Hagen-Eckesey - Stw-Bez Hr,Ha-Eckesey - Hr,Bft,ehemals,20251001
DE14238,EHGG,Hagen Gbf,Hagen Gbf,Bf,Betrieb,20200401
DE14241,EHGGB,Hagen Gbf Bez West,Hagen Gbf Bz We,Bft,Betrieb,20081214
DE14239,EHGGF,Hagen Gbf (Hgf),Hagen Gbf (Hgf),Bft,Betrieb,20030101
DE14240,EHGGO,Hagen Gbf Bez Ost,Hagen Gbf Bz Ost,Bft,Betrieb,20081214
DE14242,EHGGW,Hagen Gbf Hgw,Hagen Gbf Hgw,Bft,Betrieb,20081214
DE14257,EHGH,Hagen-Halden,Hagen-Halden,Bf,Betrieb,20200401
DE14260,EHGI,Hagen-Heubing,Hagen-Heubing,Bf,Betrieb,20200401
DE14261,EHGK,Hagen-Kabel,Hagen-Kabel,Bf,Betrieb,20200401
DE14822,EHGN,Herne-Rottbruch Hgn,Her-Rottbr Hgn,Abzw,Betrieb,20201001
DE14264,EHGO,Hagen-Oberhagen,Hagen-Oberhagen,Hp,Betrieb,20101212
DE14258,EHGP,Hagen-Haspe,Hagen-Haspe,Bf,Betrieb,20200401
,EHGQ,Hagen Bedienstandort,Hagen BSO,BSO,Planung,20200401
DE14259,EHGS,Hagen-Hengstey,Hagen-Hengstey,Abzw,Betrieb,20200401
DE14263,EHGU,Hagen-Kückelhausen,Kückelhausen,Awanst,Betrieb,20200401
DE14267,EHGV,Hagen-Vorhalle,Hagen-Vorhalle,Bf,Betrieb,20200401
DE14269,EHGVE,Hagen-Vorhalle Einfahrgruppe,Ha-Vorhalle Einf,Bft,Betrieb,20081214
DE14270,EHGVF,Hagen-Vorhalle Vof,Ha-Vorhalle Vof,Bft,Betrieb,20081214
DE14272,EHGVO,Hagen-Vorhalle Yo,Ha-Vorhalle Yo,Bft,Betrieb,20081214
DE14268,EHGVS,Hagen-Vorhalle Abzw Schönfeld,Schönfeld Abzw,Bft Abzw,Betrieb,20140401
DE14271,EHGVW,Hagen-Vorhalle Vwf,Ha-Vorhalle Vwf,Bft,Betrieb,20081214
DE14273,EHGW,Hagen-Wehringhausen,Ha-Wehringhsn,Bft,Betrieb,20200401
DE24688,EHGX,Hagen UZ 2,Hagen UZ 2,BZ,Betrieb,20200401
DE14885,EHIB,Hilchenbach,Hilchenbach,Bf,Betrieb,20081214
DE19615,EHID,Schwerte Heide,Heide,Abzw,Betrieb,20200401
DE14896,EHIG,Hillegossen,Hillegossen,Bf,Betrieb,20081214
DE14886,EHIL,Hilchenbach Hillnhütten,Hillnhütten,Hp,Betrieb,20081214
DE12584,EHIS,Duisburg Hiberniastraße,Hiberniastraße,Abzw,a.B.,20200401
DE17347,EHIT,Münster-Hiltrup,Münster-Hiltrup,Bf,Betrieb,20200401
DE14531,EHK,Hamminkeln,Hamminkeln,Bf,Betrieb,20081214
DE12585,EHKM,Duisburg Hütte Krupp/Mannesmann,Du Hütte K/M,Anst,Betrieb,20200401
DE61617,EHL,Halver,Halver,NE-Bf,Betrieb,20081214
DE14375,EHLG,Halver DB-Grenze,Halver DB-Gr,Gp,Betrieb,20100603
DE14865,EHLN,Hesseln,Hesseln,Hp,Betrieb,20081214
DE14373,EHLT,Haltern am See,Haltern am See,Bf,Betrieb,20200401
DE14508,EHM,Hamm (Westf) Pbf,Hamm (Westf) Pbf,Bf,Betrieb,20200401
,EHM H,Hamm (Westf) Bussteig H,Hamm(Westf)Bus,Bush,Betrieb,19990101
DE14755,EHMD,Hemmerde,Hemmerde,Hp,Betrieb,20200401
,EHMQ,Hamm Bedienstandort,Hamm BSO,BSO,Planung,20200401
DE61276,EHMR,Hamm (Westf) RLG,Hamm(Westf)RLG,NE-Bf,Betrieb,20081214
DE61160,EHMS,Hamm (Westf) Süd RLG,Hamm (W) Süd RLG,NE-Hp,Betrieb,20081214
DE24714,EHMW,Hamm-Westtünnen,Hamm-Westtünnen,Hp,Betrieb,20231210
DE24713,EHMX,Hamm (Westf) ESTW-Z,Hamm ESTW-Z,BZ,Planung,20200401
DE14767,EHNE,Hennen,Hennen,Hp,Betrieb,20081214
DE17942,EHOC,Oberhausen Hochstraße,Hochstraße,Üst,Betrieb,20200401
DE61317,EHOD,Hövelhof Industriegleis,Hövelhof Industg,NE-Anst,Betrieb,20081214
DE15015,EHOG,Hohenlimburg,Hohenlimburg,Bf,Betrieb,20200401
DE15009,EHOH,Hohenhagen,Hohenhagen,Hp,Betrieb,20081214
DE16970,EHOK,Menden Horlecke,Horlecke,Bf,Betrieb,20121209
DE25341,EHOKG,Menden Horlecke DB-Grenze,Horlecke DB-Gr,Gp,Betrieb,20231210
DE62145,EHOKK,Menden Horlecke Kalkwerke,Horlecke Kalkw,NE-Bft,Betrieb,20231210
DE15118,EHOM,Hörstmar (Lippe),Hörstmar (Lippe),Hp,Betrieb,20081214
DE15079,EHOP,Hoppecke,Hoppecke,Hp,Betrieb,20081214
DE15117,EHOR,Horstmar,Horstmar,Abzw,Betrieb,20200401
DE15120,EHOS,Hösel,Hösel,Bf,Betrieb,20201001
DE15128,EHOV,Hövelhof,Hövelhof,Bf,Betrieb,20081214
DE61316,EHOW,Hövelhof                             TWE,Hövelhof     TWE,NE-Bf,Betrieb,20081214
DE15029,EHOY,Hohensyburg,Hohensyburg,Abzw,Betrieb,20200401
DE15060,EHOZ,Holzhausen (Kr Siegen),Holzhausen/Sieg,Hp,Betrieb,20081214
,EHOZO,Holzhausen (Kr Siegen) Ort,Holzhausen Ort,Bush,,20200718
DE14509,EHRB,Hamm (Westf) Rbf,Hamm Rbf,Bf,Betrieb,20200401
DE14513,EHRBA,Hamm (Westf) Rbf Hma,Hamm Rbf Hma,Bft,Betrieb,20081214
DE14511,EHRBD,Hamm (Westf) Rbf Hda,Hamm Rbf Hda,Bft,Betrieb,20081214
DE14514,EHRBE,Hamm (Westf) Rbf Hme,Hamm Rbf Hme,Bft,Betrieb,20081214
DE25826,EHRBH,Hamm (Westf) Rbf Hrw,Hamm Rbf Hrw,Bft,Betrieb,20250702
DE14510,EHRBM,Hamm (Westf) Rbf Berg Hso,Hamm Rbf Hso,Bft,Betrieb,20131215
DE14518,EHRBN,Hamm (Westf) Rbf Hvn,Hamm Rbf Hvn,Bft,Betrieb,20081214
DE14516,EHRBO,Hamm (Westf) Rbf Hro,Hamm Rbf Hro,Bft,Betrieb,20081214
DE14520,EHRBR,Hamm (Westf) Rbf Rt II,Hamm Rbf Rt II,Bft,Betrieb,20081214
DE14517,EHRBS,Hamm (Westf) Rbf Hso,Hamm Rbf Hso,Bft,Betrieb,20081214
DE14519,EHRBT,Hamm (Westf) Rbf Personalwechselstelle,Hamm Rbf Persw,Bft,Betrieb,20081214
DE14512,EHRBW,Hamm (Westf) Rbf Hde,Hamm Rbf Hde,Bft,Betrieb,20081214
DE14515,EHRBZ,Hamm (Westf) Rbf Hps,Hamm Rbf Hps,Bft,Betrieb,20081214
,EHRH,Henrichshütte Hp,Henrichshütte Hp,Museum,Betrieb,20000415
DE14833,EHRI,Herringen,Herringen,Abzw,Betrieb,20200401
DE24712,EHRM,Herten Westfalen,Herten (Westf),Hp,Betrieb,20231210
DE14845,EHRT,Herten (Westf),Herten (Westf),Awanst,a.B.,20201001
DE24711,EHRW,Herten-Westerholt,Herten-Westerh,Hp,Betrieb,20250101
,EHSN,Haus Scheppen,Haus Scheppen,Museum,Betrieb,20000415
DE60717,EHST,Höste,Höste,NE-Hp,Betrieb,20081214
DE60728,EHTD,Hüsten Ost,Hüsten Ost,NE-Bf,Betrieb,20081214
DE19732,EHTG,Siegen-Geisweid,Siegen-Geisweid,Bf,Betrieb,20200401
DE14627,EHTM,Hattingen (Ruhr) Mitte,Hattingen Mitte,Bft,Betrieb,20201001
DE10611,EHTN,Balve Hertin,Hertin,Awanst,Betrieb,20081214
DE13616,EHUO,Gelsenkirchen Hugo,Hugo,Bf,a.B.,20201001
DE13617,EHUOS,Gelsenkirchen Hugo Abzw,Hugo Abzw,Abzw,Betrieb,20250401
DE15129,EHVR,Hövelriege,Hövelriege,Hp,Betrieb,20081214
DE18997,EHW,Rosendahl-Holtwick,Rosend-Holtwick,Hp,Betrieb,20081214
DE14277,EHWB,Hagen-Westerbauer,Ha-Westerbauer,Hp,Betrieb,20200401
DE60687,EHWK,Harsewinkel,Harsewinkel,NE-Bf,Betrieb,20081214
,EHWP,Holzwipper,Holzwipper,Museum,Betrieb,20050701
DE14340,EHWS,Halle G.-W.-Stadion,Halle G-W-Stad,Hp,Betrieb,20081214
DE60688,EHWW,Harsewinkel West,Harsewinkel West,NE-Awanst,Betrieb,20081214
DE15067,EHZW,Holzwickede,Holzwickede,Bf,Betrieb,20200401
,EIAA,Ibbenbüren-Aasee,Ibbenbüren-Aasee,Museum,Betrieb,20000415
DE15172,EIAG,Ibbenbüren DB-Grenze,Ibbenbüren DB-Gr,Gp,Betrieb,20200401
DE15248,EIAV,Isselhorst-Avenwedde,Isselh-Avenwedde,Hp,Betrieb,20200401
DE15249,EIAW,Isselhorst-Avenwedde Anst,Isselh-Avenwedde,Awanst Bk,Betrieb,20200401
DE60731,EIBO,Ibbenbüren Ost,Ibbenbüren Ost,NE-Bf,Betrieb,20081214
DE60733,EIGW,Irmgarteichen-Werthenbach,Irmgarteichen-W,NE-Bf,ehemals,20250501
DE15242,EIL,Iserlohn,Iserlohn,Hp,Betrieb,20081214
,EIL B,Iserlohn BFS,Iserlohn BFS,Museum,Betrieb,20000415
,EIL U,Iserlohn Busbf,Iserlohn Busbf,Bush,Betrieb,19990101
DE15243,EILH,Iserlohnerheide,Iserlohnerheide,Hp,Betrieb,20081214
DE20480,EIPU,Unna Industriepark,Industriepk Unna,Awanst,Betrieb,20081214
DE12586,EKAI,Duisburg Kaiserberg,Kaiserberg   /Du,Abzw,Betrieb,20200401
DE15352,EKAL,Kalthof (Kr Iserlohn),Kalthof/Iserlohn,Bf,Betrieb,20130101
DE15353,EKAM,Kamen,Kamen,Bf,Betrieb,20200401
DE17338,EKAN,Münster (Westf) Kanal,Kanal/Münster,Bf,Betrieb,20200401
DE21218,EKAU,Wissen (Sieg) Kautex,Kautex,Awanst,a.B.,20200401
DE24704,EKAX,Kalthof ESTW,Kalthof ESTW,BZ,Betrieb,20161211
DE15488,EKG,Kettwig,Kettwig,Bf,Betrieb,20201001
DE15489,EKGS,Kettwig Stausee,Kettwig Stausee,Hp,Betrieb,20201001
DE15539,EKHU,Kirchhundem,Kirchhundem,Hp,Betrieb,20200401
DE21698,EKIE,Kierspe,Kierspe,Bf,Betrieb,20171210
DE15522,EKIR,Kirchen,Kirchen,Bf,Betrieb,20200401
DE15523,EKJ,Kirchen Jung,Jung,Anst,a.B.,20200401
DE14262,EKKN,Hagen-Kabel Klöckner,Klöckner,Awanst,a.B.,20200401
DE11524,EKKR,Bottrop Klöckner Rohstoffhandlung,Klöckn Rohstoffh,Awanst,Betrieb,20200401
DE14752,EKLU,Hemer Klusenstein,Klusenstein,Hp,Betrieb,20081214
DE16971,EKM,Menden KM Europa Metall,KM Europa Metall,Anst,Betrieb,20201001
DE60737,EKMB,Kaan-Marienborn,Kaan-Marienborn,NE-Bf,Betrieb,20090401
DE15354,EKME,Kamen-Methler,Kamen-Methler,Hp,Betrieb,20200401
DE15946,EKNT,Küntrop,Küntrop,Hp,Betrieb,20081214
DE60745,EKNZ,Kaunitz,Kaunitz,NE-Bf,Betrieb,20081214
DE17944,EKOL,Oberhausen Kolkmannshof,Kolkmannshof,Abzw,Betrieb,20200401
DE15866,EKRD,Kredenbach,Kredenbach,Hp,Betrieb,20081214
DE10322,EKRG,Attendorn Kraghammer,Kraghammer,Hp,Betrieb,20081214
DE12389,EKRN,Dortmund-Körne                    (Abzw),Körne,Abzw,Betrieb,20200401
DE15909,EKRO,Krombach (Kr Siegen),Krombach/Siegen,Anst,a.B.,20200401
DE15932,EKRU,Krummenerl,Krummenerl,Bf,Betrieb,20081214
DE14795,EKSO,Herdorf Königsstollen,Königsstollen,Hp,Betrieb,20081214
DE19241,EKSP,Sandebeck Kronospan,Kronospan,Awanst,Betrieb,20081214
DE15896,EKT,Kreuztal,Kreuztal,Bf,Betrieb,20200401
DE15897,EKT G,Kreuztal Gbf,Kreuztal Gbf,Bft,Betrieb,20081214
DE61746,EKTK,Kreuztal KSW,Kreuztal KSW,NE-Bft,Betrieb,20070801
DE15945,EKUE,Künsebeck,Künsebeck,Hp,Betrieb,20081214
DE11380,EKUH,Bochum Keespe und Hellbrügge      (Anst),Keespe u Hellbr,Anst,a.B.,20201001
DE15446,EKV,Kattenvenne,Kattenvenne,Bf,Betrieb,20200401
DE15988,ELAG,Lage (Lippe),Lage (Lippe),Bf,Betrieb,20081214
,ELAQ,Lage (Lippe) Bedienstandort,Lage (Lippe) BSO,BSO,Planung,20180301
DE16045,ELBG,Velbert-Langenberg,Velb-Langenberg,Bf,Betrieb,20201001
DE16286,ELBK,Lembeck,Lembeck,Hp,Betrieb,20181209
DE60784,ELBN,Liesborn,Liesborn,NE-Bf,Betrieb,20081214
DE12396,ELDD,Dortmund-Lütgendortmund,Lütgendortmund,Abzw,Betrieb,20200401
DE16595,ELDH,Lüdinghausen,Lüdinghausen,Bf,Betrieb,20081214
DE16311,ELE,Iserlohn-Letmathe,Iserloh-Letmathe,Bf,Betrieb,20200401
,ELE B,Letmathe BFS,Letmathe BFS,Museum,Betrieb,19990101
DE17342,ELEC,Münster Lechtenberg,Lechtenberg,Abzw,Betrieb,20200401
DE16312,ELED,Letmathe Dechenhöhle,Letm Dechenhöhle,Hp,Betrieb,20081214
DE16193,ELEI,Leimstruth,Leimstruth,Hp,Betrieb,20250901
,ELEIL,Luisenburg,Leimstruth Bus,Bush,,20230915
DE16300,ELEN,Lengerich (Westf),Lengerich/Westf,Bf,Betrieb,20200401
,ELENT,Lengerich (Westf) TWE,Lengerich TWE,Museum,Betrieb,20090401
DE16309,ELEO,Leopoldstal,Leopoldstal,Bf,Betrieb,20081214
DE16314,ELET,Lette (Kr Coesfeld),Lette/Coesfeld,Hp,Betrieb,20081214
DE16171,ELGD,Legden,Legden,Hp,Betrieb,20101212
DE16291,ELGG,Lemgo DB-Grenze,Lemgo DB-Gr,Gp,Betrieb,20081214
DE60778,ELGH,Lengerich-Hohne,Lengerich-Hohne,NE-Bf,Betrieb,20081214
DE61745,ELGL,Lemgo-Lüttfeld,Lemgo-Lüttfeld,NE-Hp,Betrieb,20081214
DE16290,ELGO,Lemgo,Lemgo,NE-Bf,Betrieb,20170401
,ELGOL,Lemgo LEL,Lemgo LEL,Museum,Betrieb,19990101
DE60408,ELGP,Lengerich-Hohne Pbf,Lengerich-H Pbf,NE-Bf,Betrieb,20081214
DE60777,ELGS,Lengerich (Westf) Stadt,Lengerich Stadt,NE-Bf,Betrieb,20081214
DE16046,ELGW,Langenberg (Westf),Langenberg/Westf,Bf,a.B.,20200401
DE16425,ELIS,Listerscheid,Listerscheid,Hp,Betrieb,20081214
DE16414,ELIT,Lintorf (Niederrhein),Lintorf(NRhein),Bf,Betrieb,20200401
DE12587,ELOT,Duisburg Lotharstraße,Lotharstraße,Abzw,Betrieb,20200401
DE16421,ELPB,Lippstadt Lippebrücke,Lippebrücke,Awanst,Betrieb,20200401
DE16833,ELPE,Marl Lippe,Lippe,Abzw,Betrieb,20200401
,ELPG,Lippborg-Heintrop,Lippborg-Heintr,NE-Bf,ehemals,20251001
DE25881,ELPGN,Lippstadt DB-Grenze WLE Nord 9212,Lippstdt DB-Gr N,Gp,Betrieb,20250909
DE25882,ELPGS,Lippstadt DB-Grenze WLE Süd 9216,Lippstdt DB-Gr S,Gp,Betrieb,20250909
DE60787,ELPN,Lippstadt Nord,Lippstadt Nord,NE-Bf,Betrieb,20081214
DE16419,ELPP,Lippstadt,Lippstadt,Bf,Betrieb,20200401
DE16420,ELPPG,Lippstadt Gbf,Lippstadt Gbf,Bft,Betrieb,20081214
,ELPPS,Lippstadt Südstraße,Lippstadt Südstr,Bush,Betrieb,19990101
DE61323,ELPW,Lippstadt                          (WLE),Lippstadt    WLE,NE-Bf,Betrieb,20081214
DE13424,ELRF,Freudenberg Landruf,Landruf,Anst,a.B.,20200401
DE16606,ELRN,Lünern,Lünern,Hp,Betrieb,20200401
DE16591,ELS,Lüdenscheid,Lüdenscheid,Hp,Betrieb,20081214
,ELS B,Lüdenscheid BFS,Lüdenscheid BFS,Museum,Betrieb,20000415
,ELS C,Lüdenscheid Christus Kirche,Lüdenscheid Chri,Bush,,20250416
,ELS U,Lüdenscheid Am Busbf,Lüdenscheid Bus,Bush,Betrieb,19990101
,ELS Z,Lüdenscheid Zentrum,Lüdenschd Zentr,Bush,Betrieb,19990101
DE16088,ELSD,Langschede,Langschede,Bf,Betrieb,20081214
DE16293,ELSN,Lendringsen,Lendringsen,Hp,Betrieb,20101212
DE10476,ELSP,Bad Laasphe,Bad Laasphe,Bf,Betrieb,20250901
DE15898,ELTF,Kreuztal-Littfeld,Kreuzt-Littfeld,Hp,Betrieb,20200401
DE24971,ELUA,Lünen-Alstedde,Lünen-Alstedde,Hp,Planung,20250801
DE16603,ELUE,Lünen Hbf,Lünen Hbf,Bf,Betrieb,20200401
DE16605,ELUS,Lünen Süd,Lünen Süd,Bf,Betrieb,20200401
DE16636,ELUT,Lutum,Lutum,Bf,Betrieb,20101212
DE16613,ELUZ,Lützel,Lützel,Bf,Betrieb,20081214
DE17945,EMAF,Oberhausen Mathilde,Mathilde,Abzw,Betrieb,20200401
,EMAL,Hamm Maximilianpark,Maximilianpark,NE-Bf,ehemals,20251001
DE16834,EMAM,Marl Mitte,Marl Mitte,Hp,Betrieb,20200401
DE16862,EMAN,Massen,Massen,Hp,Betrieb,20200401
,EMAQ,Oberhausen Mathilde Bedienstandort,Mathilde BSO,BSO,Planung,20200401
DE16843,EMAR,Marsberg,Marsberg,Bf,Betrieb,20081214
,EMB G,Medebach Gran Dorado,Medebach G.D.,Bush,Betrieb,19990101
DE60846,EMCH,Müschede,Müschede,NE-Bf,Betrieb,20090401
DE16969,EMDG,Menden DB-Grenze,Menden DB-Gr,Gp,Betrieb,20101212
DE16835,EMDW,Marl-Drewer,Marl-Drewer,Hp,a.B.,20200401
DE16966,EMED,Menden (Sauerland),Menden,Bf,Betrieb,20201001
DE16305,EMEG,Lennestadt-Meggen,Lennest-Meggen,Bf,Betrieb,20200401
DE16906,EMEK,Mecklenbeck,Mecklenbeck,Bf,Betrieb,20081214
DE16992,EMES,Mersch (Westf),Mersch,Bf,Betrieb,20200401
DE16967,EMEU,Menden (Sauerland) Süd,Menden Süd,Hp,Betrieb,20081214
DE61750,EMFD,Marienfeld (Westf),Marienfeld/Westf,NE-Bf,Betrieb,20081214
DE16783,EMHD,Marbeck-Heiden,Marbeck-Heiden,Hp,Betrieb,20101212
DE16836,EMHM,Marl-Hamm,Marl-Hamm,Hp,Betrieb,20200401
DE16922,EMHO,Mehrhoog,Mehrhoog,Bf,Betrieb,20200401
DE13725,EMIK,Geseke Milke,Milke,Anst,Betrieb,20200401
DE17041,EMIL,Millingen (Kr Rees),Millingen,Hp,Betrieb,20200401
DE16798,EMKE,Mark Elverlingsen,Mark Elverlings,Awanst,Betrieb,20200401
DE16799,EMKS,Mark Siesel,Mark Siesel,Awanst,Betrieb,20200401
DE21688,EMLH,Mülheim (Ruhr)-Heißen Abzw,Mh-Heißen Abzw,Abzw,Betrieb,20250301
DE17192,EMLR,Mülheim (Ruhr) Hbf,Mülheim Hbf,Hp,Betrieb,20241215
DE21339,EMMB,Würgendorf Mannesmann Stahlwerk,Mannesmann,Awanst,Betrieb,20081214
DE17102,EMOE,Möllen (Niederrhein),Möllen,Bf,Betrieb,20200401
DE11381,EMOH,Bochum Mönninghoff,Mönninghoff,Anst,a.B.,20201001
DE17194,EMRH,Mülheim (Ruhr)-Heißen,Mh-Heißen,Bf,a.B.,20201001
DE60811,EMRK,Mark,Mark,NE-Bf,a.B.,20090124
DE17195,EMRS,Mülheim (Ruhr)-Speldorf,Mh-Speldorf,Bf,Betrieb,20200401
DE17193,EMRW,Mülheim (Ruhr) West,Mülheim West,Hp,Betrieb,20200401
DE24970,EMRX,Münster - Rheda-Wiedenbrück ZBP,Münster-Rheda ZB,BZ,Betrieb,20080702
DE17196,EMRY,Mülheim (Ruhr)-Styrum,Mh-Styrum,Bf,Betrieb,20200401
DE17197,EMRYA,Mülheim (Ruhr)-Styrum Bez. West,Mh-Styrum West,Bft,Betrieb,20081214
DE17012,EMSD,Meschede,Meschede,Bf,Betrieb,20081214
DE25505,EMSG,Münster (Westf) DB-Grenze WLE (W181),Münster DB-Gr,Gp,Planung,20230815
DE16839,EMSI,Marl-Sinsen,Marl-Sinsen,Bf,Betrieb,20201001
DE17015,EMSN,Messinghausen,Messinghausen,Bf,Betrieb,20081214
DE60843,EMSO,Münster (Westf) Ost,Münster Ost,NE-Bf,Betrieb,20081214
DE17349,EMSR,Münster-Roxel,Münster-Roxel,Hp,Betrieb,20141214
DE17337,EMST,Münster (Westf) Hbf,Münster (W) Hbf,Bf,Betrieb,20200401
,EMSTB,Münster (Westf) Hbf Bus,Münster(W)Hbf B,Bush,Betrieb,19990101
DE17336,EMSTG,Münster (Westf) Gbf,Münster (W) Gbf,Bft,Betrieb,20081214
DE17339,EMSTP,Münster (Westf) Pbf,Münster (W) Pbf,Bft,Betrieb,20081214
DE60842,EMSW,Münster (Westf) Hbf                  WLE,Münster Hbf  WLE,NE-Bf,Betrieb,20081214
DE17016,EMTE,Metelen Land,Metelen Land,Hp,Betrieb,20081214
DE17153,EMUD,Mudersbach,Mudersbach,Hp,Betrieb,20200401
DE60847,EMUN,Müschen,Müschen,NE-Anst,a.B.,20090124
DE17340,EMUW,Münster (Westf) Unterwerk,Unterwerk/Münst,Anst,a.B.,20200401
DE16789,EMV,Maria-Veen,Maria-Veen,Hp,Betrieb,20181209
DE16932,EMZH,Meinerzhagen,Meinerzhagen,Bf,Betrieb,20081214
DE17346,ENBE,Münster-Häger,Münster-Häger,Hp,Betrieb,20090314
DE17479,ENBM,Neubeckum,Neubeckum,Bf,Betrieb,20200401
DE17480,ENBMG,Neubeckum Gbf,Neubeckum Gbf,Bft,Betrieb,20081214
DE17481,ENBMP,Neubeckum Pbf,Neubeckum Pbf,Bft,Betrieb,20081214
DE60859,ENBW,Neubeckum                            WLE,Neubeckum    WLE,NE-Bf,Betrieb,20081214
DE17379,ENCH,Nachrodt,Nachrodt,Bf,a.B.,20220523
DE60870,ENDE,Niedereimer,Niedereimer,NE-Bf,Betrieb,20081214
DE17698,ENDI,Niederdielfen,Niederdielfen,Bf,Betrieb,20200401
DE17741,ENDN,Niederschelden,Niederschelden,Bf,Betrieb,20200401
DE17742,ENDO,Niederschelden Nord,Niederschelden N,Bft,Betrieb,20200401
DE61137,ENDR,Niederdreisbach,Niederdreisbach,NE-Bf,Betrieb,20081214
DE17716,ENDV,Niederhövels,Niederhövels,Bf,Betrieb,20200401
DE17708,ENFI,Niederfischbach,Niederfischbach,Anst,a.B.,20200401
DE24969,ENGX,Nevinghof - Gronau ZBP,Nevh-Gronau ZBP,BZ,Betrieb,20090901
DE19734,ENHA,Siegen-Weidenau Neue Haardt,Neue Haardt,Awanst,a.B.,20200401
DE17668,ENHF,Nevinghof/Münster Zentrum Nord,Nevinghof/M Z N,Bf,Betrieb,20081214
DE17776,ENHG,Nienhagen (b Detmold),Nienhagen,Bf,a.B.,20071209
DE17443,ENHH,Neheim-Hüsten,Neheim-Hüsten,Bf,Betrieb,20130101
DE60856,ENHR,Neheim-Hüsten RLG,Neheim-Hüst RLG,NE-Bf,Betrieb,20081214
DE61277,ENHU,Neheim-Hüsten Ue (RLG),Neheim-H Ue(RLG),NE-Bf,Betrieb,20081214
DE60857,ENHW,Neheim-Hüsten West,Neheim-Hüsten W,NE-Bf,Betrieb,20090401
DE17702,ENID,Niederdresselndorf,Niederdresselndf,Hp,Betrieb,20081214
,ENIDW,Niederdresselndorf Westerwaldstraße,Niederdr Westerw,Bush,,20200718
DE17730,ENIE,Niederndorf                       (Anst),Niederndorf,Anst,a.B.,20200401
DE17778,ENIR,Velbert-Nierenhof,Velb-Nierenhof,Hp,Betrieb,20201001
DE17582,ENK,Neunkirchen (Kr Siegen),Neunkirchen/Sieg,Bf,Betrieb,20130101
,ENK R,Neunkirchen (Kr Siegen) Rathhaus,Neunkirchen Rath,Bush,,20200718
DE60866,ENKN,Neunkirchen (Kr Siegen) Nord,Neunkirchen Nord,NE-Bf,Betrieb,20090401
DE10478,ENL,Bad Laasphe-Niederlaasphe,Niederlaasphe,Hp,Betrieb,20250901
,ENL M,Niederlaasphe Mitte,Ndrlaasphe Bus,Bush,,20230915
